ID,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME
wsm07962,-28.490,140.715,94,DIF,1.58,D,U
wsm07963,-28.074,140.323,93,BO,2.68,B,U
wsm07964,-27.736,140.178,95,DIF,2.20,D,U
wsm07965,-27.728,140.185,103,DIF,2.23,D,U
wsm07966,-28.129,139.619,129,DIF,2.06,D,U
wsm07967,-28.453,139.966,150,BO,2.23,D,U
wsm07968,-28.185,140.792,105,BO,2.68,A,U
wsm07969,-28.503,140.312,84,DIF,1.23,D,U
wsm07970,-28.503,140.312,93,BO,1.28,D,U
wsm07971,-27.653,139.936,122,DIF,2.91,D,U
wsm07972,-28.290,139.922,102,DIF,2.02,D,U
wsm07973,-28.088,140.858,93,DIF,2.39,A,SS
wsm07974,-28.088,140.858,98,BO,2.43,A,SS
wsm07975,-28.110,140.890,97,BO,1.53,D,U
wsm07976,-28.110,140.890,96,DIF,1.49,A,U
wsm07977,-28.129,139.958,102,DIF,2.59,D,U
wsm07978,-28.129,139.958,101,BO,2.55,D,U
wsm07979,-28.157,139.976,123,DIF,2.28,D,U
wsm07980,-27.584,140.008,134,DIF,2.83,C,U
wsm07981,-27.584,140.008,130,BO,2.84,A,U
wsm07982,-28.224,140.341,111,BO,2.81,A,U
wsm07983,-28.536,140.369,104,BO,1.24,D,U
wsm07984,-12.533,124.450,48,BO,2.12,D,U
wsm07985,-12.500,124.417,999,BO,0.00,E,U
wsm07986,-12.483,124.433,999,BO,0.00,E,U
wsm07987,-12.467,124.433,48,BO,2.36,D,U
wsm07988,-12.483,124.433,66,BO,2.35,D,U
wsm07989,-12.500,124.400,44,BO,2.27,E,U
wsm07990,-12.483,124.383,60,BO,2.92,B,U
wsm07991,-31.720,116.990,90,FMS,6.00,C,TF
wsm07992,-30.330,150.840,78,FMS,12.00,C,SS
wsm07993,-32.920,151.290,50,FMS,2.00,C,TF
wsm07994,-36.460,148.950,16,OC,0.01,E,TF
wsm07995,-35.760,145.630,76,OC,0.01,E,TF
wsm07996,-34.670,148.870,999,FMS,12.00,E,U
wsm08071,-38.402,146.245,142,FMS,15.10,D,TF
wsm08072,-34.253,150.748,999,FMS,5.30,E,U
wsm08073,-36.441,148.005,999,FMS,20.30,E,U
wsm08074,-36.781,146.094,174,FMS,8.60,C,TF
wsm08075,-37.863,146.422,141,FMS,11.40,C,TF
wsm08079,-28.048,140.764,106,BO,2.18,D,U
wsm08080,-28.059,140.735,83,BO,1.85,B,U
wsm08081,-28.053,140.858,114,BO,1.65,D,U
wsm08082,-28.055,140.886,121,BO,1.62,D,U
wsm08083,-28.074,140.323,97,DIF,2.69,B,U
wsm08084,-28.027,140.778,92,BO,1.65,B,U
wsm08085,-18.711,125.965,64,HF,0.18,B,U
wsm08086,-23.295,119.774,67,HFM,0.23,B,TF
wsm08167,-36.107,141.539,98,FMS,6.00,C,SS
wsm08509,-43.170,124.310,131,FMS,15.00,C,SS
wsm08510,-42.690,124.670,124,FMS,16.00,C,SS
wsm08608,-11.530,115.180,101,FMS,15.00,C,NF
wsm08831,-10.620,114.470,24,FMS,16.60,C,NF
wsm08937,-9.390,155.100,58,FMS,27.30,C,SS
wsm08941,-42.350,120.330,30,FMS,15.00,C,TF
wsm08950,-9.290,154.710,51,FMS,15.00,C,SS
wsm09143,-10.200,119.380,2,FMS,27.00,C,TF
wsm09212,-10.560,124.840,156,FMS,33.00,C,SS
wsm09285,-9.290,153.820,24,FMS,15.00,C,TF
wsm09287,-9.310,154.000,69,FMS,15.00,C,TF
wsm09373,-9.650,155.770,80,FMS,15.00,C,NF
wsm09489,-9.950,151.530,101,FMS,15.00,C,NF
wsm09678,-9.620,155.400,104,FMS,33.00,C,NS
wsm09871,-11.460,117.390,102,FMS,33.00,C,NF
wsm09941,-9.550,148.250,52,FMS,15.00,C,NF
wsm10235,-27.269,142.131,89,BO,1.37,A,U
wsm10236,-27.294,142.121,86,BO,2.20,C,U
wsm10237,-27.814,141.888,60,BO,2.24,C,U
wsm10238,-27.595,142.007,123,BO,1.83,E,U
wsm10239,-27.512,141.990,157,BO,1.78,C,U
wsm10240,-28.342,141.041,90,BO,2.18,C,U
wsm10241,-27.367,142.143,89,BO,1.62,A,U
wsm10242,-27.383,142.180,81,BO,2.28,C,U
wsm10243,-26.764,142.102,82,BO,2.45,B,U
wsm10244,-27.434,141.897,100,BO,2.23,C,U
wsm10245,-27.152,141.821,95,BO,2.71,A,U
wsm10246,-27.650,141.852,101,BO,2.50,A,U
wsm10247,-26.851,142.104,80,BO,2.49,B,U
wsm10248,-27.427,141.649,106,BO,2.30,B,U
wsm10249,-27.409,141.610,113,BO,2.26,A,U
wsm10250,-27.395,141.588,108,BO,1.93,B,U
wsm10251,-27.745,141.844,75,BO,2.26,B,U
wsm10446,-12.105,125.041,117,BO,0.00,D,U
wsm10447,-12.129,124.995,44,BO,0.00,C,U
wsm10448,-12.122,125.018,47,BO,0.00,C,U
wsm10449,-12.146,124.968,51,BO,0.00,C,U
wsm10450,-11.940,124.990,5,BO,0.00,C,U
wsm10780,-9.910,125.220,132,FMS,37.50,C,TF
wsm10951,-9.200,118.490,130,FMS,19.80,C,SS
wsm11009,-11.370,117.380,83,FMS,24.00,C,NF
wsm11091,-11.630,117.120,156,FMS,35.30,C,NF
wsm11553,-31.370,138.640,999,FMS,3.00,E,U
wsm11565,-37.465,140.791,146,DIF,2.24,D,U
wsm11566,-37.465,140.791,151,BO,2.33,D,U
wsm11567,-37.466,140.780,114,BO,2.31,A,U
wsm11568,-37.455,140.776,126,BO,3.07,D,U
wsm11569,-37.409,140.872,127,DIF,2.76,D,U
wsm11570,-37.350,140.753,131,BO,1.68,A,U
wsm11571,-37.442,140.830,131,DIF,2.95,B,U
wsm11572,-38.718,142.956,144,BO,1.69,D,U
wsm11573,-38.718,142.956,142,DIF,1.65,C,U
wsm11574,-38.703,142.953,142,BO,1.52,D,U
wsm11575,-38.703,142.953,134,DIF,1.60,B,U
wsm11576,-37.212,140.667,114,BO,0.66,C,U
wsm11591,-38.198,148.562,131,DIF,2.68,D,U
wsm11592,-38.189,148.370,145,DIF,2.65,D,U
wsm11593,-38.198,148.562,132,BO,2.74,C,U
wsm11594,-38.209,148.382,125,BO,2.16,D,U
wsm11595,-38.193,148.387,133,BO,2.29,D,U
wsm11596,-38.194,148.373,148,BO,2.67,D,U
wsm11597,-38.192,148.383,126,BO,2.21,C,U
wsm11598,-38.189,148.370,153,BO,2.38,D,U
wsm11650,-23.867,148.833,15,OC,0.12,D,NF
wsm11651,-24.760,150.045,999,HFM,0.04,E,TF
wsm11667,-12.243,124.550,122,BO,2.35,D,U
wsm11668,-12.195,124.496,79,BO,3.63,E,U
wsm12592,-21.592,148.173,176,HFM,0.19,B,SS
wsm12593,-21.592,148.173,165,HFM,0.18,D,SS
wsm12594,-21.592,148.173,157,HFM,0.29,B,TF
wsm12748,-9.940,118.880,138,FMS,20.80,C,TF
wsm12813,-10.860,112.590,113,FMS,18.30,C,NF
wsm13348,-9.940,114.390,9,FMS,39.90,C,SS
wsm13564,-10.690,110.990,3,FMS,15.00,C,TF
wsm13770,-22.510,130.170,62,FMS,12.00,C,TF
wsm14219,-9.794,151.575,43,BO,0.70,D,U
wsm14253,-33.420,127.602,73,BO,0.76,D,U
wsm14254,-33.326,128.481,73,BO,0.80,E,U
wsm14317,-9.507,151.573,123,BO,1.60,D,U
wsm14345,-33.474,128.481,153,BO,1.32,D,U
wsm14361,-34.391,127.591,160,BO,4.10,D,U
wsm14374,-33.529,127.264,168,BO,0.97,D,U
wsm14381,-9.507,151.573,172,DIF,1.10,D,U
wsm14400,-33.316,127.602,999,BO,0.39,E,U
wsm14401,-20.978,152.916,999,BO,0.43,E,U
wsm14402,-16.647,146.290,999,BO,0.46,E,U
wsm14403,-16.637,146.304,999,BO,0.50,E,U
wsm14404,-33.296,128.481,999,BO,0.59,E,U
wsm14406,-21.006,152.866,999,BO,0.61,E,U
wsm14407,-20.243,151.983,999,BO,0.64,E,U
wsm14412,-16.423,146.215,999,BO,1.10,E,U
wsm14547,-19.297,135.099,999,BO,5.95,E,U
wsm14949,-9.660,151.130,82,FMS,12.00,C,NF
wsm14979,-11.440,119.450,83,FMS,12.00,C,NF
wsm15089,-9.790,154.670,89,FMS,12.70,C,NF
wsm15139,-9.820,154.800,91,FMS,12.00,C,NF
wsm15140,-11.530,116.160,91,FMS,12.00,C,NF
wsm15164,-11.360,116.920,92,FMS,24.20,C,NF
wsm15195,-10.190,113.610,94,FMS,29.10,C,SS
wsm15203,-11.580,115.840,94,FMS,14.20,C,NF
wsm15448,-38.390,112.070,106,FMS,12.40,C,TF
wsm15489,-9.850,154.860,108,FMS,17.40,C,NF
wsm15872,-9.110,118.630,128,FMS,24.40,C,SS
wsm16208,-9.990,118.330,152,FMS,18.60,C,NF
wsm16251,-9.460,118.840,154,FMS,22.40,C,SS
wsm16678,-9.840,111.870,179,FMS,19.80,C,NF
wsm16771,-9.820,111.970,4,FMS,15.60,C,NF
wsm16839,-9.490,110.570,9,FMS,34.60,C,TF
wsm16895,-10.640,116.980,13,FMS,32.40,C,TF
wsm17641,-9.630,126.570,47,FMS,29.70,C,NF
wsm17905,-11.380,119.020,59,FMS,12.00,C,NF
wsm17907,-9.990,154.220,59,FMS,12.00,C,NF
wsm17943,-10.090,150.760,60,FMS,12.00,C,NF
wsm18209,-9.870,155.190,72,FMS,12.00,C,NF
wsm18220,-9.340,150.740,72,FMS,12.00,C,NF
wsm18325,-11.360,118.410,77,FMS,34.20,C,NF
wsm18686,-9.490,124.670,167,FMS,18.50,C,SS
wsm18846,-31.500,138.350,130,FMA,3.00,D,TF
wsm19403,-10.804,127.298,50,DIF,2.90,B,U
wsm19404,-11.095,126.675,36,DIF,3.00,B,U
wsm19405,-10.880,126.586,52,DIF,1.90,B,U
wsm19406,-10.574,129.981,34,DIF,2.80,C,U
wsm19438,-19.810,133.980,17,FMA,6.50,D,TF
wsm19439,-34.660,148.880,154,FMA,12.50,D,SS
wsm19440,-37.466,140.780,119,DIF,2.40,D,U
wsm19441,-27.543,140.578,116,BO,2.44,D,U
wsm19442,-28.301,140.546,114,DIF,1.53,D,U
wsm19443,-28.301,140.546,108,BO,1.46,C,U
wsm19444,-27.736,140.178,114,BO,1.81,C,U
wsm19445,-27.728,140.185,108,BO,2.03,D,U
wsm19446,-28.204,140.688,108,BO,2.01,D,U
wsm19447,-27.653,139.936,126,BO,2.82,C,U
wsm19448,-28.157,139.976,113,BO,2.40,D,U
wsm19449,-28.527,140.043,114,DIF,2.01,D,U
wsm19450,-28.527,140.043,106,BO,1.94,D,U
wsm19451,-28.317,140.043,61,DIF,2.42,D,U
wsm19452,-28.218,139.924,120,DIF,2.00,D,U
wsm19453,-28.218,139.924,121,BO,2.06,D,U
wsm19454,-28.224,140.341,108,DIF,2.94,D,U
wsm19455,-28.252,139.878,93,DIF,2.12,D,U
wsm19456,-28.252,139.878,91,BO,2.09,D,U
wsm19457,-28.301,139.917,108,DIF,1.99,D,U
wsm19655,-29.258,114.457,104,DIF,1.42,D,U
wsm19656,-29.258,114.457,96,BO,1.34,C,U
wsm19657,-29.393,115.029,88,DIF,2.52,A,U
wsm19658,-29.458,115.162,76,DIF,3.20,B,U
wsm19659,-29.436,114.889,104,DIF,1.19,A,U
wsm19660,-29.505,115.151,80,DIF,3.21,C,U
wsm19661,-29.435,115.144,87,DIF,3.14,C,U
wsm19662,-29.316,115.071,80,DIF,2.78,D,U
wsm19663,-29.370,114.886,90,DIF,1.30,C,U
wsm19664,-29.393,115.029,94,BO,1.81,B,U
wsm19665,-29.458,115.162,75,BO,3.18,A,U
wsm19666,-29.436,114.889,110,BO,4.59,D,U
wsm19667,-29.505,115.151,80,BO,3.08,B,U
wsm19668,-29.435,115.144,78,BO,2.95,C,U
wsm19669,-29.316,115.071,90,BO,2.82,C,U
wsm19670,-29.370,114.886,87,BO,1.28,D,U
wsm19800,-38.159,140.612,141,BOC,2.27,A,U
wsm25151,-10.650,113.290,71,FMS,32.60,C,NF
wsm25153,-10.610,113.340,92,FMS,15.00,C,NF
wsm25600,-9.980,150.890,139,FMS,39.00,C,NF
wsm25601,-9.950,150.910,139,FMS,35.90,C,NF
wsm26433,-11.380,117.550,69,FMS,12.30,C,NF
wsm26554,-9.330,124.850,169,FMS,33.20,C,SS
wsm26650,-9.270,124.160,30,FMS,10.00,C,NF
wsm27029,-9.960,118.750,177,FMS,18.30,C,TF
wsm27130,-9.220,154.080,41,FMS,10.00,C,SS
wsm27139,-10.200,110.630,106,FMS,23.00,C,NF
wsm27338,-9.900,118.790,167,FMS,35.00,C,TF
wsm27453,-10.570,118.850,48,FMS,35.00,C,NF
wsm27456,-10.410,118.900,41,FMS,22.00,C,NF
wsm27461,-10.440,118.850,35,FMS,35.00,C,NF
wsm27935,-9.570,149.890,81,FMS,18.20,C,NS
wsm28019,-10.410,123.500,6,FMS,11.30,C,TF
wsm28247,-12.550,114.520,75,FMS,10.00,C,NF
wsm28456,-10.930,113.790,81,FMS,15.40,C,NF
wsm29291,-42.460,120.160,95,FMS,10.00,C,TF
wsm29323,-20.080,147.760,46,FMS,7.00,C,SS
wsm29326,-19.825,113.546,120,FMS,10.00,C,SS
wsm29452,-9.200,112.580,102,FMS,28.00,C,NF
wsm30017,-9.430,114.530,39,FMS,35.00,C,TF
wsm30039,-9.430,124.790,39,FMS,32.30,C,NF
wsm30073,-40.651,126.444,123,FMS,10.00,C,TF
wsm30161,-10.940,113.610,104,FMS,15.00,C,NF
wsm30232,-21.580,114.650,90,FMS,10.00,C,SS
wsm30659,-26.200,132.070,54,FMS,10.00,C,TF
wsm31324,-10.860,113.730,105,FMS,20.00,C,NF
wsm31327,-10.740,113.920,108,FMS,19.10,C,NF
wsm31335,-10.820,113.970,104,FMS,35.00,C,NS
wsm31336,-10.980,113.860,94,FMS,15.00,C,NF
wsm31341,-10.650,113.910,101,FMS,14.10,C,NF
wsm31342,-10.770,113.820,104,FMS,10.00,C,NF
wsm31358,-10.730,113.830,125,FMS,4.80,C,NF
wsm31368,-10.730,113.970,107,FMS,13.60,C,NF
wsm31385,-10.770,113.750,112,FMS,10.00,C,NF
wsm31397,-10.830,113.890,100,FMS,10.00,C,NF
wsm31398,-10.990,113.840,106,FMS,13.00,C,NF
wsm31402,-10.720,113.860,101,FMS,18.30,C,NF
wsm31406,-10.780,113.820,118,FMS,16.10,C,NF
wsm31470,-10.780,113.880,73,FMS,10.00,C,NF
wsm31631,-42.490,124.600,132,FMS,20.00,C,TS
wsm31704,-11.530,117.920,87,FMS,20.00,C,NF
wsm31706,-11.630,119.650,79,FMS,10.00,C,NF
wsm31792,-9.800,154.800,118,FMS,6.60,C,SS
wsm31796,-9.840,154.740,110,FMS,10.00,C,SS
wsm31829,-9.320,110.230,7,FMS,15.50,C,TF
wsm32269,-11.520,117.180,86,FMS,10.00,C,NF
wsm32573,-26.010,132.000,41,FMS,11.00,C,TF
wsm32830,-10.660,114.230,86,FMS,10.00,C,SS
wsm32998,-11.390,121.790,76,FMS,8.40,C,NF
wsm33005,-10.170,151.850,80,FMS,34.60,C,SS
wsm33006,-10.080,151.800,80,FMS,35.30,C,SS
wsm33106,-9.030,119.750,177,FMS,18.00,C,SS
wsm33177,-10.060,123.760,2,FMS,29.10,C,NF
wsm33622,-11.470,119.040,75,FMS,26.00,C,NF
wsm33841,-9.850,154.990,79,FMS,22.90,C,NF
wsm33983,-9.260,110.270,3,FMS,18.10,C,TF
wsm34893,-10.320,112.790,79,FMS,29.90,C,NF
wsm34894,-10.240,112.800,92,FMS,36.10,C,NF
wsm35016,-9.720,155.100,50,FMS,10.00,C,NF
wsm35018,-9.600,155.140,54,FMS,11.00,C,NF
wsm35033,-10.480,123.840,2,FMS,24.50,C,TF
wsm35559,-10.063,132.545,22,BOC,2.70,A,U
wsm35567,-34.750,149.190,140,FMS,4.00,D,TF
wsm35568,-30.080,143.520,65,FMS,2.00,C,NS
wsm35569,-20.070,112.900,104,FMS,15.00,C,SS
wsm35571,-30.230,117.780,79,FMS,2.10,C,TF
wsm35572,-30.210,117.770,81,FMS,0.00,C,TF
wsm35573,-38.420,145.870,137,FMS,16.00,C,TF
wsm35574,-38.400,145.860,136,FMS,6.00,C,TF
wsm35575,-20.903,135.419,115,FMS,0.00,C,TF
wsm35576,-20.085,147.764,46,FMS,25.60,C,SS
wsm35577,-30.759,150.413,76,FMS,9.00,C,TF
wsm35578,-38.244,146.194,148,FMS,9.90,C,TF
wsm37901,-25.220,151.370,37,FMS,15.00,C,SS
wsm38655,-25.320,154.190,49,FMS,10.00,C,TF
wsm38656,-25.250,154.260,39,FMS,10.00,C,TF
wsm38657,-25.330,154.240,44,FMS,10.00,C,TF
wsm38792,-32.300,138.500,114,FMF,11.00,B,TF
wsm40454,-26.321,149.263,143,DIF,0.51,D,U
wsm40455,-32.092,151.967,48,BO,0.46,D,U
wsm40456,-32.109,151.965,79,BO,0.48,D,U
wsm40457,-32.092,151.975,57,BO,0.44,D,U
wsm40458,-30.470,136.797,98,HF,1.31,B,TS
wsm40459,-21.410,114.070,128,BO,1.30,D,U
wsm40460,-19.260,113.131,104,BO,2.22,D,U
wsm40461,-19.400,114.312,102,BO,4.21,D,U
wsm40462,-32.992,115.774,106,BO,1.21,C,SS
wsm40463,-21.557,114.156,146,BO,1.12,D,U
wsm40464,-21.532,114.228,124,BO,1.10,C,U
wsm40465,-21.532,114.228,95,DIF,1.07,D,U
wsm40466,-21.568,114.173,120,BO,1.03,B,U
wsm40467,-21.568,114.173,108,DIF,1.41,D,U
wsm40468,-38.100,148.315,96,DIF,1.75,C,U
wsm40469,-38.100,148.315,94,BO,1.49,D,U
wsm40470,-29.185,115.262,53,BO,3.23,C,U
wsm40471,-29.064,153.232,66,BO,0.61,B,U
wsm40472,-37.462,140.876,143,BO,2.90,B,U
wsm40473,-37.462,140.876,137,DIF,2.79,D,U
wsm40474,-29.210,153.132,34,BO,0.57,B,U
wsm40475,-37.212,140.668,110,BO,0.74,C,U
wsm40476,-37.212,140.668,104,DIF,0.91,C,U
wsm40477,-29.173,153.179,47,BO,0.54,B,U
wsm40478,-37.202,140.447,999,BO,0.00,E,U
wsm40479,-39.662,145.734,999,BO,0.00,E,U
wsm40480,-29.216,115.096,44,DIF,2.21,D,U
wsm40481,-21.333,114.067,122,BO,1.20,D,U
wsm40482,-21.333,114.067,133,BO,1.35,D,U
wsm40483,-21.333,114.067,129,DIF,1.36,D,U
wsm40484,-13.825,123.189,92,BO,4.41,B,U
wsm40485,-13.825,123.189,98,DIF,4.39,D,U
wsm40486,-30.636,149.649,43,DIF,0.74,D,U
wsm40487,-30.636,149.649,52,BO,0.75,D,U
wsm40488,-31.182,149.893,68,BO,0.95,D,U
wsm40489,-14.605,121.640,103,BO,3.86,B,U
wsm40490,-14.605,121.640,105,DIF,3.79,D,U
wsm40491,-24.193,148.511,999,BO,0.00,E,U
wsm40492,-24.737,150.002,999,BO,0.00,E,U
wsm40493,-24.746,150.006,42,BO,0.58,D,U
wsm40494,-24.698,150.023,84,BO,0.40,D,U
wsm40495,-28.699,153.004,50,BO,0.62,B,U
wsm40496,-23.024,148.615,999,BO,0.00,E,U
wsm40497,-28.892,153.062,80,BO,0.38,C,U
wsm40498,-39.241,142.912,140,BO,2.32,D,U
wsm40499,-26.044,149.823,70,BO,0.34,C,U
wsm40500,-29.353,153.083,58,BO,0.60,D,U
wsm40501,-29.353,153.083,46,DIF,0.33,D,U
wsm40502,-26.262,149.917,56,BO,0.21,D,U
wsm40503,-37.447,140.705,135,BO,1.87,A,U
wsm40504,-37.447,140.705,136,DIF,1.92,A,U
wsm40505,-26.429,150.072,39,BO,0.27,D,U
wsm40506,-27.272,151.040,63,BO,0.19,D,U
wsm40507,-39.289,142.849,138,BO,2.29,D,U
wsm40508,-34.136,150.683,132,BO,0.66,D,U
wsm40509,-21.477,113.992,111,BO,1.80,A,U
wsm40510,-21.477,113.992,100,DIF,1.95,D,U
wsm40511,-38.105,149.008,87,BO,0.81,C,U
wsm40512,-27.151,150.801,999,BO,0.00,E,U
wsm40513,-38.255,147.807,126,DIF,1.48,D,U
wsm40514,-38.255,147.807,142,BO,1.63,D,U
wsm40515,-28.030,140.914,90,BO,2.48,A,U
wsm40516,-28.030,140.914,94,DIF,2.59,D,U
wsm40517,-29.318,115.041,55,BO,1.18,C,U
wsm40518,-29.318,115.041,63,DIF,1.38,D,U
wsm40519,-32.876,151.083,75,BO,0.40,D,U
wsm40520,-21.360,115.286,120,BO,0.61,D,U
wsm40521,-21.364,113.827,120,DIF,2.85,D,SS
wsm40522,-27.816,140.754,86,BO,3.90,A,U
wsm40523,-27.816,140.754,80,DIF,3.41,B,U
wsm40524,-21.480,113.872,126,BO,1.84,B,SS
wsm40525,-21.480,113.872,120,DIF,1.84,D,SS
wsm40526,-21.480,113.872,127,BO,1.87,C,SS
wsm40527,-21.480,113.872,128,DIF,1.87,D,SS
wsm40528,-25.769,149.027,60,DIF,1.40,D,U
wsm40529,-27.527,140.685,103,BO,1.81,B,U
wsm40530,-29.339,114.990,86,BO,2.42,A,U
wsm40531,-29.339,114.990,84,DIF,1.98,B,U
wsm40532,-29.339,114.990,88,DIF,2.30,B,U
wsm40533,-29.339,114.990,95,BO,2.17,C,U
wsm40534,-29.329,115.044,94,BO,1.65,A,U
wsm40535,-29.329,115.044,95,DIF,1.41,B,U
wsm40536,-13.863,123.232,70,BO,4.45,A,U
wsm40537,-13.863,123.232,66,DIF,4.45,A,U
wsm40538,-29.311,115.026,999,BO,0.00,E,U
wsm40539,-33.254,151.387,91,BO,0.33,D,U
wsm40540,-33.237,151.372,77,BO,0.39,D,U
wsm40541,-19.283,116.645,115,BO,3.32,D,SS
wsm40542,-27.855,140.122,105,BO,2.95,A,U
wsm40543,-29.307,115.093,83,BO,2.03,B,U
wsm40544,-29.307,115.093,79,DIF,1.73,D,U
wsm40545,-21.379,113.810,117,BO,2.75,A,U
wsm40546,-21.379,113.810,116,DIF,2.72,D,U
wsm40547,-29.338,114.993,94,DIF,2.19,A,U
wsm40548,-29.338,114.993,92,BO,2.25,D,U
wsm40549,-26.870,150.324,999,BO,0.00,E,U
wsm40550,-21.511,114.093,120,BO,1.11,C,U
wsm40551,-27.616,139.991,116,BO,2.75,C,U
wsm40552,-29.311,115.104,98,BO,2.16,C,U
wsm40553,-29.311,115.104,89,DIF,2.59,D,U
wsm40554,-27.599,140.004,111,BO,2.78,B,U
wsm40555,-29.301,115.103,81,BO,2.78,B,U
wsm40556,-29.301,115.103,81,DIF,2.76,C,U
wsm40557,-30.548,149.608,56,BO,0.72,D,U
wsm40558,-30.548,149.608,70,DIF,0.88,D,U
wsm40559,-29.318,115.043,84,BO,1.71,B,U
wsm40560,-29.318,115.043,114,DIF,1.43,D,U
wsm40561,-29.306,115.091,88,BO,2.59,B,U
wsm40562,-29.306,115.091,90,DIF,2.71,D,U
wsm40563,-39.862,145.375,30,BO,2.90,C,U
wsm40564,-38.150,147.977,145,BO,1.91,A,U
wsm40565,-38.150,147.977,148,DIF,2.03,D,U
wsm40566,-19.835,113.217,73,DIF,1.97,D,U
wsm40567,-19.904,113.100,124,DIF,1.71,D,U
wsm40568,-19.904,113.100,115,BO,1.76,D,U
wsm40569,-29.201,115.053,62,BO,2.22,B,U
wsm40570,-26.397,149.046,23,BO,0.30,D,U
wsm40571,-19.886,115.018,78,DIF,2.26,D,U
wsm40572,-28.894,153.062,77,BO,0.49,B,U
wsm40573,-28.894,153.064,80,BO,0.53,C,U
wsm40574,-28.889,153.061,93,BO,0.58,B,U
wsm40575,-29.220,115.061,74,BO,1.88,B,U
wsm40576,-29.422,115.138,97,DIF,3.25,D,U
wsm40577,-29.348,115.021,84,BO,1.63,B,U
wsm40578,-29.348,115.021,93,DIF,1.76,C,U
wsm40579,-19.962,115.139,133,DIF,2.67,D,U
wsm40580,-38.285,144.215,144,DIF,0.63,B,U
wsm40581,-38.285,144.215,137,BO,0.56,D,U
wsm40582,-14.445,121.642,110,DIF,3.63,B,U
wsm40583,-14.445,121.642,114,BO,3.57,C,U
wsm40584,-29.325,114.979,80,BO,1.82,B,U
wsm40585,-29.325,114.979,85,DIF,2.50,C,U
wsm40586,-29.338,114.989,86,BO,1.86,A,U
wsm40587,-29.338,114.989,90,DIF,2.39,C,U
wsm40588,-29.338,114.989,109,BO,2.47,D,U
wsm40589,-29.241,115.091,67,BO,2.68,C,U
wsm40590,-29.241,115.091,57,DIF,2.85,D,U
wsm40591,-26.849,150.327,999,BO,0.00,E,U
wsm40592,-30.470,136.797,98,BO,1.12,A,TF
wsm40593,-30.470,136.797,98,DIF,1.27,D,TF
wsm40594,-28.414,139.809,80,BO,1.77,D,U
wsm40595,-38.192,147.130,160,BO,1.43,C,U
wsm40596,-28.889,153.072,42,BO,0.41,D,U
wsm40597,-29.336,115.072,78,BO,2.54,D,U
wsm40598,-29.336,115.072,103,DIF,3.10,D,U
wsm40599,-24.161,148.753,999,BO,0.00,E,U
wsm40600,-19.910,115.161,107,DIF,2.40,D,U
wsm40601,-24.100,148.843,999,BO,0.00,E,U
wsm40602,-26.588,149.083,17,BO,0.87,D,U
wsm40603,-28.417,139.815,999,BO,0.00,E,U
wsm40604,-30.617,149.653,999,BO,0.00,E,U
wsm40605,-30.630,149.655,74,BO,0.72,C,U
wsm40606,-28.398,140.993,999,BO,0.00,E,U
wsm40607,-30.624,149.651,84,BO,0.61,D,U
wsm40608,-21.397,114.065,122,BO,1.29,D,U
wsm40609,-30.629,149.651,51,DIF,0.73,D,U
wsm40610,-30.629,149.651,60,BO,0.57,D,U
wsm40611,-25.667,148.893,999,BO,0.00,E,U
wsm40612,-30.627,149.653,49,DIF,0.87,D,U
wsm40613,-30.627,149.653,59,BO,0.82,D,U
wsm40614,-25.739,148.934,999,BO,0.00,E,U
wsm40615,-19.844,115.797,117,BO,3.66,A,U
wsm40616,-28.890,153.067,80,BO,0.53,B,U
wsm40617,-28.890,153.067,113,DIF,0.44,D,U
wsm40618,-14.394,121.644,119,DIF,3.63,B,U
wsm40619,-28.948,152.903,97,BO,0.52,B,U
wsm40620,-26.417,149.104,11,BO,0.44,D,U
wsm40621,-29.339,114.989,86,DIF,2.42,B,U
wsm40622,-29.339,114.989,99,BO,2.36,B,U
wsm40623,-26.486,149.076,999,BO,0.00,E,U
wsm40624,-25.651,148.985,999,BO,0.00,E,U
wsm40625,-26.403,148.935,37,BO,0.55,D,U
wsm40626,-25.684,149.024,38,DIF,0.93,C,U
wsm40627,-26.355,149.095,999,BO,0.00,E,U
wsm40628,-25.708,148.911,999,BO,0.00,E,U
wsm40629,-26.573,149.139,18,BO,0.74,D,U
wsm40630,-13.916,121.967,91,DIF,4.21,C,U
wsm40631,-13.916,121.967,87,BO,4.43,D,U
wsm40632,-25.635,149.002,999,BO,0.00,E,U
wsm40633,-26.530,148.945,33,BO,0.54,D,U
wsm40634,-25.672,148.965,999,BO,0.00,E,U
wsm40635,-26.338,149.024,999,BO,0.00,E,U
wsm40636,-34.045,150.782,140,BO,0.63,D,U
wsm40637,-25.954,148.551,999,BO,0.00,E,U
wsm40638,-19.899,115.113,108,BO,3.16,D,U
wsm40639,-25.665,148.950,999,BO,0.00,E,U
wsm40640,-25.540,148.933,999,BO,0.00,E,U
wsm40641,-28.948,152.903,93,BO,0.37,B,U
wsm40642,-28.948,152.903,97,DIF,0.25,D,U
wsm40643,-28.811,152.972,61,BO,0.64,A,U
wsm40644,-25.404,148.939,999,BO,0.00,E,U
wsm40645,-25.693,148.938,999,BO,0.00,E,U
wsm40646,-28.764,152.921,67,BO,0.34,D,U
wsm40647,-28.764,152.967,87,BO,0.60,B,U
wsm40648,-28.764,152.967,82,DIF,0.62,D,U
