ID,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME
wsm05278,-21.567,114.217,85,BO,0.96,D,U
wsm05279,-20.883,114.917,94,BO,2.87,A,U
wsm05280,-20.117,116.433,41,BO,0.69,B,U
wsm05281,-20.150,116.433,25,BO,0.56,D,U
wsm05282,-20.133,116.433,160,BO,0.59,B,U
wsm05283,-20.117,116.433,53,BO,0.81,D,U
wsm05284,-20.133,116.417,55,BO,0.95,D,U
wsm05285,-19.567,116.433,99,BO,2.89,C,U
wsm05286,-19.617,116.417,99,BO,2.94,C,U
wsm05287,-19.583,116.433,94,BO,3.04,A,U
wsm05288,-20.517,115.717,102,BO,1.68,D,U
wsm05289,-22.283,114.067,57,BO,1.40,D,U
wsm05290,-19.167,117.317,2,BO,2.45,D,U
wsm05291,-20.167,116.467,149,BO,0.69,B,U
wsm05292,-20.683,155.600,56,BO,1.84,D,U
wsm05293,-21.117,115.267,46,BO,2.20,D,U
wsm05294,-21.333,155.200,55,BO,1.54,B,U
wsm05295,-21.183,114.700,110,BO,2.73,C,U
wsm05296,-21.550,114.317,100,BO,1.38,B,U
wsm05297,-20.083,116.283,34,BO,2.25,E,U
wsm05298,-20.600,115.633,80,BO,1.70,B,U
wsm05299,-20.500,115.167,105,BO,1.09,C,U
wsm05300,-20.033,116.833,107,BO,0.82,E,U
wsm05301,-21.217,114.633,113,BO,2.05,C,U
wsm05302,-21.233,114.617,33,BO,2.63,C,U
wsm05303,-21.217,114.617,114,BO,2.43,D,U
wsm05304,-21.233,114.617,107,BO,2.94,B,U
wsm05305,-19.600,115.967,39,BO,3.02,C,U
wsm05306,-19.633,115.900,50,BO,2.90,B,U
wsm05307,-19.733,115.867,48,BO,0.70,C,U
wsm05308,-19.683,115.883,108,BO,2.33,E,U
wsm05309,-20.767,115.583,93,BO,1.49,D,U
wsm05310,-20.533,115.783,101,BO,1.96,B,U
wsm05311,-21.383,115.183,139,BO,2.03,D,U
wsm05312,-20.017,116.550,162,BO,0.65,D,U
wsm05313,-21.167,114.683,110,BO,2.56,B,U
wsm05314,-21.300,115.233,105,BO,1.31,D,U
wsm05315,-20.417,115.717,92,BO,1.97,A,U
wsm05316,-20.533,115.633,94,BO,2.23,B,U
wsm05317,-21.217,141.683,110,BO,2.17,D,U
wsm05318,-38.159,140.612,118,BO,1.72,E,U
wsm05319,-37.426,140.675,999,BO,0.00,E,U
wsm05320,-37.414,140.666,131,BO,1.78,D,U
wsm05321,-37.404,140.033,143,BO,2.49,D,U
wsm05322,-37.323,140.155,999,BO,0.46,E,U
wsm05323,-37.468,140.781,119,BO,2.08,C,U
wsm05324,-37.450,140.774,164,BO,1.82,D,U
wsm05325,-37.451,140.789,13,BO,2.11,E,U
wsm05326,-37.454,140.781,119,BO,1.58,C,U
wsm05327,-37.486,140.253,999,BO,1.65,E,U
wsm05328,-37.228,140.161,116,BO,1.38,D,U
wsm05329,-35.730,144.490,116,FMS,10.00,D,SS
wsm05330,-16.180,124.510,63,FMS,5.00,D,SS
wsm05331,-33.432,150.149,66,FMS,5.00,C,SS
wsm05332,-30.770,117.090,116,FMS,5.00,C,TF
wsm05333,-30.794,138.405,100,FMS,20.00,C,SS
wsm05334,-23.590,150.700,40,FMS,6.00,D,TF
wsm05335,-32.950,151.610,44,FMS,11.50,C,TF
wsm05336,-34.810,149.170,94,FMS,5.30,C,TF
wsm05337,-25.250,130.650,64,FMS,31.00,C,TF
wsm05338,-33.330,150.604,173,FMS,2.00,C,SS
wsm05375,-42.380,120.040,4,FMS,10.00,C,TF
wsm05469,-16.660,120.160,91,FMS,26.00,C,SS
wsm05474,-32.440,137.960,69,FMS,5.00,C,SS
wsm05475,-31.060,138.470,41,FMS,10.00,C,SS
wsm05476,-32.300,139.310,59,FMS,15.00,C,SS
wsm05477,-32.389,138.923,999,FMS,16.40,E,U
wsm05478,-19.550,126.560,145,FMS,17.00,C,TF
wsm05479,-25.880,137.460,125,FMS,15.00,C,TF
wsm05480,-32.476,138.878,74,FMS,6.80,D,SS
wsm05481,-31.390,116.350,93,OC,0.01,E,U
wsm05490,-40.450,155.610,155,FMS,20.00,C,TF
wsm05612,-34.780,149.170,82,FMF,3.00,C,TS
wsm05613,-37.042,147.168,146,FMS,15.00,D,TF
wsm05614,-34.740,149.180,142,FMS,0.00,D,SS
wsm05615,-34.780,149.190,164,FMS,1.00,C,TF
wsm05616,-19.582,113.533,100,BO,0.00,C,U
wsm05617,-17.624,124.501,55,BO,0.32,C,U
wsm05670,-9.910,151.770,84,FMS,16.80,C,NF
wsm05959,-19.567,116.500,116,BO,2.93,C,U
wsm05960,-38.695,148.276,151,BOC,2.50,B,U
wsm05961,-38.602,148.298,130,BOC,4.41,C,U
wsm05962,-38.613,147.717,116,BO,3.10,D,U
wsm05963,-38.437,148.437,123,BOC,2.61,D,U
wsm05964,-38.319,148.436,122,BOC,2.54,D,U
wsm05965,-40.040,144.050,159,OC,0.08,D,U
wsm05966,-14.101,121.514,67,BOC,4.71,D,U
wsm05967,-19.572,116.137,126,BOC,2.88,B,U
wsm05968,-19.694,115.848,145,BOC,2.50,B,U
wsm05969,-31.950,141.150,77,OC,0.74,C,TS
wsm05970,-31.970,141.430,89,OC,1.26,C,TS
wsm05971,-31.500,145.820,98,OC,0.44,B,TS
wsm05972,-21.593,148.173,17,HFM,0.17,D,SS
wsm05973,-23.250,148.540,48,HFM,0.13,B,TF
wsm05974,-24.520,150.050,10,HFM,0.20,B,TF
wsm05975,-34.200,150.772,86,OC,0.48,D,SS
wsm05976,-30.700,117.150,101,OC,0.01,E,TF
wsm05977,-30.800,117.030,60,OC,0.01,E,TS
wsm05978,-38.197,147.808,138,BOC,2.80,C,U
wsm05979,-27.550,149.661,136,BOC,2.92,C,U
wsm05980,-25.572,143.058,65,BOC,2.16,C,U
wsm05981,-17.626,124.463,60,BOC,1.10,C,U
wsm05982,-18.277,122.401,55,BOC,1.03,C,U
wsm05983,-20.780,139.480,95,OC,0.86,C,TS
wsm05984,-35.280,149.110,111,FMS,2.00,D,TF
wsm05985,-32.510,122.220,104,FMS,10.00,D,NF
wsm05986,-31.760,139.420,86,FMS,5.00,D,SS
wsm06005,-24.003,132.706,0,BO,0.00,E,U
wsm06006,-24.003,132.683,0,BO,1.17,E,U
wsm06007,-24.012,132.794,5,BO,1.07,C,U
wsm06008,-23.999,132.728,20,BO,1.33,B,U
wsm06009,-24.070,132.854,175,BO,1.64,B,U
wsm06010,-23.898,132.650,175,BO,2.23,B,U
wsm06011,-24.007,132.617,999,BO,0.00,E,U
wsm06012,-24.002,132.650,999,BO,0.00,E,U
wsm06013,-24.000,132.770,999,BO,0.00,E,U
wsm06014,-23.980,131.460,38,BO,1.25,B,U
wsm06015,-23.970,131.470,34,BO,1.25,D,U
wsm06016,-23.940,131.440,70,BO,1.00,D,U
wsm06017,-23.960,131.417,177,BO,1.30,A,U
wsm06018,-24.020,131.591,103,BO,1.25,D,U
wsm06019,-24.020,131.583,102,BO,1.20,C,U
wsm06020,-24.034,131.596,53,BO,1.25,E,U
wsm06021,-24.034,131.608,29,BO,1.25,D,U
wsm06022,-24.020,131.600,88,BO,0.80,D,U
wsm06023,-23.990,131.570,104,BO,1.40,E,U
wsm06024,-23.994,131.580,1,BO,1.13,E,U
wsm06025,-24.004,131.610,18,BO,1.40,B,U
wsm06026,-24.000,131.590,16,BO,1.30,C,U
wsm06027,-24.002,131.600,35,BO,1.25,D,U
wsm06028,-24.000,131.583,59,BO,1.14,B,U
wsm06029,-24.001,131.595,96,BO,0.94,D,U
wsm06030,-24.033,131.633,31,BO,1.30,D,U
wsm06031,-24.017,131.600,19,BO,1.30,E,U
wsm06089,-9.870,155.650,95,FMS,15.00,C,NF
wsm06090,-9.900,155.620,83,FMS,15.00,C,NF
wsm06091,-9.920,155.830,84,FMS,15.40,C,NF
wsm06092,-9.820,155.590,78,FMS,15.00,C,NF
wsm06441,-11.230,118.930,77,FMS,15.00,C,NF
wsm06523,-16.517,123.578,62,FMS,10.00,C,SS
wsm06524,-16.680,124.660,63,FMS,10.00,C,SS
wsm06535,-28.026,140.781,105,BO,1.85,B,U
wsm06536,-27.839,140.577,89,BO,2.82,B,U
wsm06537,-28.111,140.893,88,BO,2.00,D,U
wsm06538,-28.083,140.854,83,BO,1.41,E,U
wsm06539,-27.590,140.117,152,BO,2.10,D,U
wsm06540,-28.361,139.974,130,BO,1.93,D,U
wsm06541,-28.106,140.875,76,BO,1.38,C,U
wsm06542,-27.570,140.136,144,BO,2.39,D,U
wsm06543,-28.115,140.875,100,BO,1.08,B,U
wsm06544,-27.633,140.423,100,BO,2.63,C,U
wsm06545,-28.040,140.128,104,BO,2.53,C,U
wsm06546,-28.018,140.256,98,BO,2.58,B,U
wsm06547,-31.110,116.470,102,FMS,1.00,C,SS
wsm06548,-31.540,117.000,93,FMS,3.00,C,TF
wsm06549,-30.730,117.210,75,FMS,2.00,C,TF
wsm06550,-33.816,138.984,100,FMS,20.40,C,TF
wsm06561,-10.600,126.783,61,BO,2.30,D,U
wsm06562,-11.000,127.150,53,BO,3.50,B,U
wsm06563,-11.193,125.332,39,BO,2.40,B,U
wsm06564,-11.280,125.572,40,BO,1.50,D,U
wsm06565,-12.037,126.651,63,BO,2.40,D,U
wsm06566,-10.918,126.166,48,BO,2.30,E,U
wsm06567,-10.574,129.981,33,BO,2.70,D,U
wsm06568,-27.563,140.651,118,BO,2.08,B,U
wsm06570,-24.528,149.954,36,HFM,0.68,D,TF
wsm06571,-24.470,150.031,9,HFM,0.57,B,TF
wsm06572,-24.310,149.882,76,HFM,0.60,D,TF
wsm06573,-24.644,149.908,7,HFM,0.41,A,SS
wsm06574,-24.684,149.900,40,HFM,0.52,A,TF
wsm06575,-24.585,149.914,12,HFM,0.37,A,TF
wsm06576,-24.621,149.882,34,HFM,0.59,B,TF
wsm06577,-24.673,149.911,30,HFM,0.42,B,TF
wsm06578,-24.014,148.646,37,HFM,0.11,C,TF
wsm06579,-24.033,148.614,176,HFM,0.18,C,TF
wsm06580,-22.995,148.554,49,HFM,0.17,C,TF
wsm06581,-22.946,148.586,178,HFM,0.08,C,TF
wsm06582,-23.012,148.560,21,HFM,0.14,C,TF
wsm06583,-23.078,148.528,48,HFM,0.10,B,TF
wsm06584,-23.058,148.563,8,HFM,0.19,C,TF
wsm06585,-23.051,148.542,172,HFM,0.09,C,TF
wsm06586,-23.043,148.564,12,HFM,0.16,B,TF
wsm06587,-21.540,148.250,149,HFM,0.07,C,TF
wsm06588,-21.264,147.914,5,HFM,0.14,B,TF
wsm06589,-21.866,148.009,16,HFM,0.26,B,TF
wsm06590,-21.510,148.000,12,HFM,0.12,B,TF
wsm06591,-21.833,148.058,27,HFM,0.39,B,TF
wsm06592,-21.592,147.967,15,HFM,0.36,B,TF
wsm06593,-21.602,147.957,12,HFM,0.60,B,TF
wsm06594,-39.633,145.151,0,BO,2.68,B,U
wsm06595,-39.792,145.448,152,BO,2.67,B,U
wsm06596,-39.839,145.806,146,BO,2.26,D,U
wsm06597,-39.921,146.267,56,BO,1.46,D,U
wsm06598,-39.410,145.396,30,BO,2.03,D,U
wsm06599,-39.894,145.978,86,BO,2.95,D,U
wsm06600,-40.138,145.917,163,BO,3.11,D,U
wsm06601,-40.386,145.696,94,BO,1.52,D,U
wsm06602,-40.345,145.864,135,BO,2.76,D,U
wsm06603,-40.361,145.872,41,BO,2.43,B,U
wsm06604,-40.262,145.864,14,BO,2.45,D,U
wsm06605,-40.074,145.978,138,BO,2.15,D,U
wsm06606,-21.592,148.173,0,HFM,0.25,C,SS
wsm06607,-33.361,150.161,142,HFM,0.32,D,TF
wsm06608,-33.363,150.163,80,HFM,0.35,B,TF
wsm06609,-33.391,150.162,133,HFM,0.27,D,TF
wsm06610,-33.396,150.158,150,HFM,0.35,D,TF
wsm06611,-33.392,150.160,129,HFM,0.35,C,TF
wsm06612,-33.386,150.150,80,HFM,0.35,B,TF
wsm06613,-33.382,150.145,100,HFM,0.26,D,TF
wsm06614,-33.394,150.149,113,HFM,0.36,D,TF
wsm06615,-33.392,150.145,86,HFM,0.33,D,TF
wsm06616,-33.384,150.145,81,HFM,0.32,C,TF
wsm06617,-33.385,150.140,92,HFM,0.31,C,TF
wsm06618,-33.366,150.140,171,HFM,0.31,C,TF
wsm06619,-32.355,151.256,52,HFM,0.49,C,TF
wsm06620,-32.900,151.244,78,HFM,0.23,C,TF
wsm06621,-33.241,151.196,79,HFM,0.83,A,TF
wsm06622,-33.082,151.400,43,HFM,0.21,B,TF
wsm06623,-33.082,151.400,164,HFM,0.15,C,TF
wsm06624,-33.082,151.400,17,HFM,0.22,D,TF
wsm06625,-33.377,151.383,70,HFM,0.64,B,TF
wsm06626,-32.438,150.835,61,HFM,0.32,B,TF
wsm06627,-32.441,150.802,60,HFM,0.24,B,TF
wsm06628,-32.188,150.849,103,HFM,0.22,D,TF
wsm06629,-33.436,150.239,63,OC,0.20,D,SS
wsm06630,-34.473,150.701,107,OC,0.40,D,TF
wsm06631,-34.255,150.913,0,OC,0.35,D,TF
wsm06632,-34.168,150.951,48,OC,0.50,D,SS
wsm06633,-34.200,150.880,60,OC,0.50,D,TF
wsm06634,-34.236,150.706,5,OC,0.50,D,TF
wsm06635,-34.200,150.554,38,OC,0.43,D,TF
wsm06636,-34.182,150.755,75,OC,0.45,D,TF
wsm06637,-34.018,150.457,74,OC,0.47,D,TF
wsm06638,-33.982,150.473,104,OC,0.30,D,TF
wsm06639,-33.959,151.250,29,OC,0.13,D,TF
wsm06640,-33.182,151.228,66,OC,0.25,D,TF
wsm06641,-32.900,151.600,0,OC,0.10,D,TF
wsm06642,-32.909,151.500,16,OC,0.19,D,TF
wsm06643,-32.900,151.211,59,OC,0.55,D,TF
wsm06644,-32.500,150.952,86,OC,0.08,D,TF
wsm06645,-32.109,150.745,84,OC,0.19,D,SS
wsm06646,-23.707,148.864,20,OC,0.40,D,TF
wsm06647,-23.240,148.082,178,OC,0.23,D,TF
wsm06648,-21.764,148.038,5,OC,0.17,D,SS
wsm06649,-23.080,148.410,7,OC,0.09,D,SS
wsm06650,-21.240,147.947,4,OC,0.11,D,TF
wsm06651,-23.800,148.894,0,OC,0.23,D,TF
wsm06652,-24.760,150.045,23,HFM,0.42,B,TF
wsm06653,-24.760,150.045,4,HFM,0.39,B,TF
wsm06654,-33.819,151.251,178,HFM,0.08,D,TF
wsm06655,-33.830,151.226,140,HFM,0.09,C,TF
wsm06656,-33.880,151.196,179,HFM,0.01,E,TF
wsm06657,-33.882,151.197,11,HFM,0.01,D,TF
wsm06658,-33.872,151.200,8,HFM,0.01,D,TF
wsm06659,-33.892,151.249,37,HFM,0.04,D,TF
wsm06660,-33.972,151.229,37,HFM,0.50,A,TF
wsm06661,-33.897,151.193,41,HFM,0.63,B,TF
wsm06662,-33.972,151.247,25,HFM,0.12,B,TF
wsm06663,-33.825,151.264,36,HFM,0.11,D,TF
wsm06664,-33.892,151.261,48,HFM,0.09,C,TF
wsm06665,-33.959,151.250,23,HFM,0.11,C,TF
wsm06666,-32.661,151.147,145,HFM,0.07,C,TF
wsm06667,-32.591,151.044,146,HFM,0.10,B,TF
wsm06668,-10.804,127.298,46,BO,2.50,A,U
wsm06669,-10.641,126.872,36,BO,2.40,C,U
wsm06670,-11.057,126.792,61,BO,3.20,D,U
wsm06671,-11.011,126.698,51,BO,3.20,D,U
wsm06672,-11.059,126.739,38,BO,3.10,D,U
wsm06673,-11.040,126.694,56,BO,3.10,C,U
wsm06674,-11.095,126.675,49,BO,3.10,D,U
wsm06675,-11.046,126.549,45,BO,3.20,C,U
wsm06676,-11.068,126.646,42,BO,3.10,C,U
wsm06677,-11.076,126.572,50,BO,3.10,B,U
wsm06678,-11.043,126.604,62,BO,3.10,C,U
wsm06679,-10.883,126.619,57,BO,2.50,A,U
wsm06680,-10.880,126.586,63,BO,2.10,B,U
wsm06681,-10.884,126.600,62,BO,2.50,A,U
wsm06682,-10.883,126.536,43,BO,3.10,D,U
wsm06683,-10.926,126.509,66,BO,2.80,A,U
wsm06684,-10.852,126.470,30,BO,3.10,D,U
wsm06685,-10.628,126.028,1,BO,3.10,B,U
wsm06686,-10.569,126.111,14,BO,3.30,D,U
wsm06687,-10.779,126.372,48,BO,2.90,A,U
wsm06688,-34.191,150.770,18,BO,0.40,C,U
wsm06690,-27.000,152.500,45,FMA,10.00,D,TF
wsm06691,-11.011,126.698,41,DIF,3.20,D,U
wsm06692,-11.059,126.739,48,DIF,3.00,B,U
wsm06693,-11.040,126.694,45,DIF,2.90,A,U
wsm06694,-11.046,126.549,39,DIF,3.00,A,U
wsm06695,-11.076,126.572,39,DIF,3.00,B,U
wsm06696,-11.043,126.604,44,DIF,3.00,B,U
wsm06697,-10.883,126.619,52,DIF,2.60,B,U
wsm06698,-10.884,126.600,42,DIF,2.80,A,U
wsm06699,-10.883,126.536,45,DIF,3.00,C,U
wsm06700,-10.926,126.509,45,DIF,3.10,A,U
wsm06701,-10.779,126.372,22,DIF,3.20,C,U
wsm06702,-10.628,126.028,26,DIF,3.10,D,U
wsm06703,-10.569,126.111,30,DIF,3.20,B,U
wsm06704,-10.448,126.194,22,DIF,3.40,C,U
wsm06705,-11.057,126.792,51,DIF,3.10,D,U
wsm06706,-11.068,126.646,40,DIF,3.00,A,U
wsm06707,-10.852,126.470,35,DIF,3.00,B,U
wsm06708,-10.844,126.468,46,DIF,2.90,B,U
wsm06709,-11.471,128.164,40,BO,3.10,A,U
wsm06710,-12.126,125.628,53,BO,2.60,E,U
wsm06711,-14.530,129.061,61,BO,1.60,A,U
wsm06712,-14.532,129.052,53,BO,2.10,A,U
wsm06713,-14.573,129.421,50,BO,1.10,D,U
wsm06714,-14.778,129.111,61,BO,2.70,A,U
wsm06715,-10.104,126.993,47,BO,2.50,D,U
wsm06716,-14.290,128.433,53,BO,1.30,B,U
wsm06717,-29.096,114.298,135,BO,2.98,C,U
wsm06718,-31.867,115.462,122,BO,1.46,C,U
wsm06719,-30.130,114.636,118,BO,1.22,C,U
wsm06720,-32.915,115.052,62,BO,3.43,C,U
wsm06721,-32.920,115.660,74,BO,3.51,B,U
wsm06722,-28.899,114.260,88,BO,2.34,D,U
wsm06723,-30.168,115.736,99,BO,1.18,B,U
wsm06724,-29.835,115.414,110,BO,1.83,C,U
wsm06725,-29.266,115.022,93,BO,1.21,A,U
wsm06726,-29.145,115.074,95,BO,1.35,C,U
wsm06727,-29.301,115.171,127,BO,3.45,C,U
